Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
781,Wie einst Lilly,HR,2010-11-28,Murot und Wächter,1,Christian Jeltsch,Achim von Borries,"Goldene Kamera 2011 an Ulrich Tukur (Bester deutscher Schauspieler); nominiert für die Goldene Kamera (Bester deutscher Fernsehfilm) und für den Grimme-Preis, erster Fall für das Team aus Wiesbaden und Umgebung (erster Fall am Edersee)"
782,Familienbande,WDR,2010-12-05,Ballauf und Schenk,48,"Hans Werner, Peter Goslicki",Thomas Jauch,
783,Schön ist anders,MDR,2010-12-12,Saalfeld und Keppler,9,Katrin Bühlig,Judith Kennel,
784,Nie wieder frei sein,BR,2010-12-19,Batic und Leitmayr,57,Dinah Marte Golch,Christian Zübert,"Grimme-Preis 2011. Hauptpreis beim Deutschen Fernsehkrimipreis 2011, Darstellerpreis an Lisa Wagner."
785,Borowski und der vierte Mann,NDR,2010-12-26,Borowski,16,"Daniel Nocke, Henning Mankell (Vorlage)",Claudia Garde,
786,Tödliche Ermittlungen,SWR,2011-01-02,Odenthal und Kopper,52,Andreas Schlüter,Michael Schneider,
787,Unter Druck,WDR,2011-01-09,Ballauf und Schenk,49,Dagmar Gabler,Herwig Fischer,
788,Der schöne Schein,SWR/SRF,2011-01-16,"Blum, Perlmann und Flückiger",19,Susanne Schneider,René Heisig,
789,Heimatfront,SR,2011-01-23,Kappl und Deininger,6,Uwe Wilhelm,Jochen Alexander Freydank,Die Handlung spielt im Umfeld des Fallschirmjägerbataillons 261 und thematisiert die Traumatisierung von zurückgekehrten Soldaten aus dem Afghanistaneinsatz der Bundeswehr.
790,Stille Wasser,Radio Bremen/WDR,2011-02-13,Lürsen und Stedefreund,23,Thorsten Näter,Thorsten Näter,
791,Rendezvous mit dem Tod,MDR,2011-02-20,Saalfeld und Keppler,10,"Clemens Schönborn, Meike Hauck",Buddy Giovinazzo,
792,Leben gegen Leben,NDR,2011-02-27,Batu,4,Nils Willbrandt,Nils Willbrandt,
793,Vergeltung,ORF,2011-03-06,Eisner und Fellner,24,Uli Brée,Wolfgang Murnberger,
794,Mord in der ersten Liga,NDR,2011-03-20,Lindholm,18,Harald Göckeritz,Nils Willbrandt,
795,Im Netz der Lügen,SWR,2011-03-27,Blum und Perlmann,20,Dorothee Schön,Patrick Winczewski,
796,Edel sei der Mensch und gesund,RBB,2011-04-03,Ritter und Stark,30,"Gerhard J. Rekel, Dinah Marte Golch",Florian Froschmayer,
797,Jagdzeit,BR,2011-04-10,Batic und Leitmayr,58,Peter Probst,Peter Fratzscher,
798,Grabenkämpfe,SWR,2011-04-25,Lannert und Bootz,8,"Jan Hinter, Stefan Cantz",Zoltan Spirandelli,
799,Herrenabend,WDR,2011-05-01,Thiel und Boerne,19,Magnus Vattrodt,Matthias Tiefenbacher,
800,Eine bessere Welt,HR,2011-05-08,Steier und Mey,1,Alexander Adolph,Lars Kraume,"Hessischer Fernsehpreis, Bester Darsteller an Justus von Dohnányi"
801,Der illegale Tod,Radio Bremen,2011-05-15,Lürsen und Stedefreund,24,Christian Jeltsch,Florian Baxmeyer,
802,Ausgelöscht,ORF,2011-05-29,Eisner und Fellner,25,Uli Brée,Harald Sicheritz,Nominiert für den Grimme-Preis 2012
803,Gestern war kein Tag,BR,2011-06-05,Batic und Leitmayr,59,"Pim Richter, Daniela Mohr",Christian Görlitz,
804,Nasse Sachen,MDR,2011-06-13,Saalfeld und Keppler,11,Andreas Knaup,Johannes Grieser,
805,Im Abseits,SWR,2011-06-19,Odenthal und Kopper,53,Jürgen Werner,Uwe Janson,Anlässlich der Fußball-Weltmeisterschaft der Frauen 2011 gezeigt; Gastauftritte prominenter Vertreter des DFB.
806,Wunschdenken,SRF,2011-08-14,Flückiger und Lanning,1,Nils-Morten Osburg,Markus Imboden,Für den 17. April 2011 vorgesehene Erstsendung wurde im Februar wegen Qualitätsbedenken des Schweizer Fernsehens verschoben;[31] einziger Fall mit Ermittlerin Abigail Lanning.
807,Lohn der Arbeit,ORF,2011-08-28,Eisner,26,Felix Mitterer,Erich Hörtnagl,"Ohne Adele Neuhauser, da die Folge vor Folge 24 und damit vor Einführung der Rolle „Bibi Fellner“ gedreht wurde.[32]"
808,Altes Eisen,WDR,2011-09-04,Ballauf und Schenk,50,Mario Giordano,Mark Schlichter,
809,Tod einer Lehrerin,SWR,2011-09-11,Odenthal und Kopper,54,"Hans Gerd Müller-Welters, Thomas Freundner",Thomas Freundner,
810,Zwischen den Ohren,WDR,2011-09-18,Thiel und Boerne,20,"Thorsten Wettcke, Christoph Silber",Franziska Meletzky,
811,Auskreuzung,WDR,2011-09-25,Ballauf und Schenk,51,Karl-Heinz Käfer,Torsten C. Fischer,
812,Borowski und die Frau am Fenster,NDR,2011-10-02,Borowski und Brandt,17,Sascha Arango,Stephan Wagner,Erster Fall mit Kriminalkommissarin Sarah Brandt
813,Das erste Opfer,SWR,2011-10-09,Lannert und Bootz,9,"Stephan Brüggenthies, Leo P. Ard, Birgit Grosz",Nicolai Rohde,
814,Das schwarze Haus,SWR,2011-10-16,Blum und Perlmann,21,Thomas Bohn,Thomas Bohn,
815,Mauerpark,RBB,2011-10-23,Ritter und Stark,31,Heiko Schier,Heiko Schier,
816,Borowski und der coole Hund,NDR,2011-11-06,Borowski und Brandt,18,"Michael Proehl, Henning Mankell (Vorlage)",Christian Alvart,
817,Der Tote im Nachtzug,HR,2011-11-20,Steier und Mey,2,Lars Kraume,Lars Kraume,"Deutscher Fernsehkrimipreis 2012, nominiert für den Grimme-Preis 2012"
818,Ein ganz normaler Fall,BR,2011-11-27,Batic und Leitmayr,60,"Daniel Wolf, Rochus Hahn",Torsten C. Fischer,
819,Das Dorf,HR,2011-12-04,Murot und Wächter,2,Daniel Nocke,Justus von Dohnányi,Nominiert für den Grimme-Preis 2012; Team ermittelt in der Umgebung von Frankfurt am Main
820,"Schwarze Tiger, weiße Löwen",NDR,2011-12-11,Lindholm,19,Ulrike Molsen,Roland Suso Richter,
821,Der Weg ins Paradies,NDR,2011-12-18,Batu,5,Alexander Adolph,Lars Becker,
822,Tödliche Häppchen,SWR,2012-01-01,Odenthal und Kopper,55,"Josh Broecker, Frauke Hunfeld",Josh Broecker,
823,Keine Polizei,WDR,2012-01-08,Ballauf und Schenk,52,Norbert Ehry,Kaspar Heidelbach,
